identical,SurfMatches,PCLMatches,ICPSimilarityscore,ColorHistDistance
1,12,8,9.277040000000001e-05,0.673862
0,15,7,9.45137e-05,0.674016
1,9,8,9.563809999999999e-05,0.673248
1,13,7,9.030319999999999e-05,0.692084
0,13,10,9.199430000000001e-05,0.691058
1,12,7,9.553690000000001e-05,0.690348
0,12,8,9.577629999999999e-05,0.690605
1,11,6,9.20056e-05,0.687868
1,14,5,9.58973e-05,0.6830109999999999
0,20,8,9.523120000000001e-05,0.681967
1,12,7,8.98784e-05,0.6809270000000001
0,14,5,8.857389999999999e-05,0.680759
1,14,5,9.34214e-05,0.700716
1,13,6,9.5396e-05,0.6779270000000001
0,13,7,9.44257e-05,0.668505
1,15,5,9.38458e-05,0.678512
1,13,9,9.499729999999999e-05,0.690914
0,15,7,9.713690000000001e-05,0.6894060000000001
0,14,8,9.10783e-05,0.660229
1,16,7,9.5357e-05,0.672949
1,12,7,9.759379999999999e-05,0.684496
1,14,7,9.25342e-05,0.68629
0,15,6,8.80432e-05,0.687076
1,11,8,8.80528e-05,0.686134
0,18,11,8.68366e-05,0.6874439999999999
1,11,9,9.421290000000001e-05,0.6666850000000001
0,15,9,9.033120000000001e-05,0.6685
1,13,8,9.76259e-05,0.663546
0,15,10,9.217350000000001e-05,0.676208
0,11,11,9.296120000000001e-05,0.658554
1,16,11,9.46532e-05,0.662357
1,13,9,9.41475e-05,0.683663
1,13,9,8.99225e-05,0.685528
1,12,5,9.957e-05,0.681082
0,15,7,9.93364e-05,0.680479
1,14,4,9.27628e-05,0.680606
0,21,4,9.48078e-05,0.680966
1,12,9,9.844190000000001e-05,0.689692
0,20,10,9.687799999999999e-05,0.6892699999999999
1,12,8,1.91439e-05,0.742858
1,13,7,1.5072100000000001e-05,0.7426
1,10,11,1.89827e-05,0.7427739999999999
1,9,7,1.81778e-05,0.739989
1,10,9,1.48653e-05,0.746359
1,14,7,1.87002e-05,0.7398170000000001
1,11,12,1.7437e-05,0.752596
1,9,11,1.68935e-05,0.742161
1,11,9,1.82004e-05,0.748599
1,11,11,1.6915e-05,0.745775
1,11,11,1.80427e-05,0.7413930000000001
1,11,9,1.62399e-05,0.7419279999999999
1,11,8,1.80309e-05,0.7450939999999999
1,9,10,1.41435e-05,0.742477
1,10,10,1.76741e-05,0.744019
1,10,9,1.68621e-05,0.743256
1,10,8,1.6787e-05,0.747545
1,13,11,1.84587e-05,0.7379220000000001
1,42,9,1.7901e-05,0.671405
1,11,5,2.00376e-05,0.747213
1,11,7,1.87615e-05,0.7475430000000001
1,10,8,1.78884e-05,0.746345
1,11,8,1.88388e-05,0.744259
1,12,6,1.9208e-05,0.7422340000000001
1,43,7,1.86455e-05,0.675802
1,12,8,1.6789200000000002e-05,0.745536
1,10,6,1.65884e-05,0.747209
1,10,7,1.84232e-05,0.74446
1,11,9,2.7981300000000003e-05,0.650462
1,14,9,3.6436399999999996e-05,0.651103
1,11,16,2.55236e-05,0.66338
1,14,17,2.78103e-05,0.659996
1,11,9,2.7981300000000003e-05,0.650598
1,13,9,3.6436399999999996e-05,0.651313
1,12,16,2.55236e-05,0.663539
1,16,16,2.78103e-05,0.659817
1,10,9,2.7981300000000003e-05,0.650934
1,13,9,3.6436399999999996e-05,0.651555
1,13,17,2.55236e-05,0.663509
1,15,17,2.78103e-05,0.6599
1,10,9,2.7981300000000003e-05,0.650934
1,13,9,3.6436399999999996e-05,0.651313
1,12,16,2.55236e-05,0.6638850000000001
1,16,17,2.78103e-05,0.659878
1,10,9,2.7981300000000003e-05,0.650934
1,14,9,3.6436399999999996e-05,0.651103
1,12,16,2.55236e-05,0.662497
1,16,16,2.78103e-05,0.659817
1,11,9,2.7981300000000003e-05,0.650758
1,13,9,3.6436399999999996e-05,0.651555
1,13,16,2.55236e-05,0.664077
1,13,17,2.78103e-05,0.661471
1,32,8,3.54441e-05,0.57649
1,38,10,2.98572e-05,0.575286
1,34,10,3.39564e-05,0.584304
1,36,9,3.23227e-05,0.577727
1,34,9,3.31966e-05,0.5792
1,33,11,3.35793e-05,0.5746060000000001
1,32,11,3.27847e-05,0.571551
1,41,15,3.65712e-05,0.580814
1,31,15,3.11935e-05,0.5915229999999999
1,29,12,3.0002800000000004e-05,0.578277
1,36,13,3.37631e-05,0.571184
1,30,14,3.49544e-05,0.57006
1,29,12,3.37706e-05,0.582308
1,32,12,3.9026399999999996e-05,0.5734239999999999
1,32,14,3.41385e-05,0.584547
1,33,14,3.11722e-05,0.578712
1,36,13,3.55461e-05,0.576701
1,33,13,3.2863e-05,0.576449
1,31,10,3.0104200000000002e-05,0.5777359999999999
1,34,16,3.0919e-05,0.581947
1,34,9,3.02781e-05,0.570098
1,31,9,3.47627e-05,0.586548
1,38,13,3.0114800000000002e-05,0.577054
1,36,12,3.10269e-05,0.591434
1,36,10,3.4054400000000004e-05,0.58334
1,33,11,3.2221e-05,0.5879439999999999
1,36,13,2.82557e-05,0.569292
1,8,5,2.7295e-05,0.7983359999999999
1,8,5,2.7086199999999998e-05,0.79697
1,8,5,2.7873200000000003e-05,0.8050350000000001
1,8,4,3.09262e-05,0.792946
1,8,3,2.59506e-05,0.792406
1,8,4,3.07741e-05,0.798181
1,9,6,2.8047600000000002e-05,0.797433
1,9,4,2.90619e-05,0.795204
1,8,3,2.7617399999999998e-05,0.808092
1,50,17,2.7249299999999997e-05,0.548934
1,62,16,2.5501100000000002e-05,0.5512699999999999
1,9,5,2.53134e-05,0.803285
1,62,15,2.51627e-05,0.5528109999999999
1,7,8,2.64889e-05,0.792346
1,53,14,2.62994e-05,0.554515
1,8,5,2.94493e-05,0.796844
1,8,7,2.8758099999999998e-05,0.7972060000000001
1,64,13,2.53346e-05,0.5569810000000001
1,7,4,2.73454e-05,0.795552
1,8,5,2.64646e-05,0.7952319999999999
1,9,7,2.7001300000000002e-05,0.8014399999999999
1,8,7,3.0410100000000002e-05,0.796995
1,8,4,2.5341599999999998e-05,0.794471
1,10,6,2.8964899999999998e-05,0.795622
1,8,4,3.1912199999999996e-05,0.7975869999999999
1,8,6,2.87491e-05,0.7981590000000001
1,8,6,2.6756e-05,0.7899729999999999
1,7,3,2.69231e-05,0.803775

